fn,x0,x1,y0,y1,ext,
20586986_6c613a14b80a8591_MG_L_ML_ANON,51,478,2311,2612,.dcm,
20587054_b6a4f750c6df4f90_MG_R_CC_ANON,1949,2171,1168,1312,.dcm,
20587080_b6a4f750c6df4f90_MG_R_ML_ANON,1953,2176,1951,2107,.dcm,
inbreast1,149,274,344,436,.png,
inbreast2,549,780,732,914,.png,
inbreast3,215,284,373,433,.png,
inbreast4,44,215,123,256,.png,
inbreast5,40,121,413,497,.png,
inbreast6,606,685,219,278,.png,
inbreast82,11,132,409,517,.png,
inbreast83,51,178,329,442,.png,
inbreast84,0,199,258,439,.png,
inbreast85,495,544,650,679,.png,
inbreast86,146,184,614,647,.png,
inbreast87,50,182,610,675,.png,
inbreast88,49,90,272,315,.png,
